value	cluster_id
-2,-2,-2,-2,-2,-2,-2	2
-2,-2,-2,-2,-2,-2,-1	2
-2,-2,-2,-2,-2,-2,0	2
-2,-2,-2,-2,-2,-2,1	2
-2,-2,-2,-2,-2,-2,2	2
-2,-2,-2,-2,-2,-1,-2	85
-2,-2,-2,-2,-2,-1,-1	85
-2,-2,-2,-2,-2,-1,0	2
-2,-2,-2,-2,-2,-1,1	2
-2,-2,-2,-2,-2,-1,2	2
-2,-2,-2,-2,-2,0,-2	85
-2,-2,-2,-2,-2,0,-1	85
-2,-2,-2,-2,-2,0,0	85
-2,-2,-2,-2,-2,0,1	2
-2,-2,-2,-2,-2,0,2	2
-2,-2,-2,-2,-2,1,-2	82
-2,-2,-2,-2,-2,1,-1	82
-2,-2,-2,-2,-2,1,0	82
-2,-2,-2,-2,-2,1,1	82
-2,-2,-2,-2,-2,1,2	2
-2,-2,-2,-2,-2,2,-2	41
-2,-2,-2,-2,-2,2,-1	41
-2,-2,-2,-2,-2,2,0	41
-2,-2,-2,-2,-2,2,1	41
-2,-2,-2,-2,-2,2,2	14
-2,-2,-2,-2,-1,-2,-2	79
-2,-2,-2,-2,-1,-2,-1	2
-2,-2,-2,-2,-1,-2,0	2
-2,-2,-2,-2,-1,-2,1	2
-2,-2,-2,-2,-1,-2,2	2
-2,-2,-2,-2,-1,-1,-2	79
-2,-2,-2,-2,-1,-1,-1	82
-2,-2,-2,-2,-1,-1,0	82
-2,-2,-2,-2,-1,-1,1	2
-2,-2,-2,-2,-1,-1,2	2
-2,-2,-2,-2,-1,0,-2	82
-2,-2,-2,-2,-1,0,-1	82
-2,-2,-2,-2,-1,0,0	82
-2,-2,-2,-2,-1,0,1	66
-2,-2,-2,-2,-1,0,2	66
-2,-2,-2,-2,-1,1,-2	82
-2,-2,-2,-2,-1,1,-1	82
-2,-2,-2,-2,-1,1,0	82
-2,-2,-2,-2,-1,1,1	82
-2,-2,-2,-2,-1,1,2	18
-2,-2,-2,-2,-1,2,-2	41
-2,-2,-2,-2,-1,2,-1	41
-2,-2,-2,-2,-1,2,0	41
-2,-2,-2,-2,-1,2,1	41
-2,-2,-2,-2,-1,2,2	14
-2,-2,-2,-2,0,-2,-2	54
-2,-2,-2,-2,0,-2,-1	54
-2,-2,-2,-2,0,-2,0	69
-2,-2,-2,-2,0,-2,1	2
-2,-2,-2,-2,0,-2,2	2
-2,-2,-2,-2,0,-1,-2	82
-2,-2,-2,-2,0,-1,-1	82
-2,-2,-2,-2,0,-1,0	82
-2,-2,-2,-2,0,-1,1	49
-2,-2,-2,-2,0,-1,2	49
-2,-2,-2,-2,0,0,-2	82
-2,-2,-2,-2,0,0,-1	82
-2,-2,-2,-2,0,0,0	82
-2,-2,-2,-2,0,0,1	82
-2,-2,-2,-2,0,0,2	18
